# Force coefficients
# liftDir           : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# dragDir           : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# magUInf           : 1.000000000000e+00
# lRef              : 1.000000000000e+00
# Aref              : 1.000000000000e+00
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              	Cm                  	Cd                  	Cl                  	Cl(f)               	Cl(r)               
0.0022              	-6.729092287774e-06	1.451809236110e+03	-7.438901522322e-02	-3.720123670390e-02	-3.718777851932e-02
0.0044              	2.126298737244e-05	-3.312838622890e-01	1.285614530792e-01	6.430198952697e-02	6.425946355223e-02
0.0066              	2.131936162804e-05	8.062386719185e-01	-2.375003052795e-02	-1.185369590235e-02	-1.189633462560e-02
0.0088              	2.130550976651e-05	1.385427358645e+00	-6.414130739603e-04	-2.994010272136e-04	-3.420120467466e-04
0.011               	2.024878185853e-05	1.592127687973e+00	-2.969159467856e-04	-1.282091915343e-04	-1.687067552513e-04
0.0132              	1.921983984169e-05	1.727078481924e+00	-2.454479708040e-04	-1.035041455603e-04	-1.419438252437e-04
0.0154              	1.819349895736e-05	1.824464323814e+00	-4.346444673251e-04	-1.991287347052e-04	-2.355157326199e-04
0.0176              	1.722123060487e-05	1.896769053316e+00	-2.608847552381e-04	-1.132211470142e-04	-1.476636082239e-04
0.0198              	1.628668587790e-05	1.951266495676e+00	-4.127625694598e-04	-1.900945988520e-04	-2.226679706078e-04
0.022               	1.538526674329e-05	1.990803482030e+00	-3.568729823425e-04	-1.630512244280e-04	-1.938217579145e-04
0.0242              	1.450607788220e-05	2.017689875568e+00	-4.116994542141e-04	-1.913436492248e-04	-2.203558049892e-04
0.0264              	1.368716774437e-05	2.038743716103e+00	-4.770598251625e-04	-2.248427448369e-04	-2.522170803256e-04
0.0286              	1.288033106567e-05	2.051500047813e+00	-4.648329545806e-04	-2.195361462246e-04	-2.452968083560e-04
0.0308              	1.206454846731e-05	2.059991264630e+00	-3.256577333115e-04	-1.507643181885e-04	-1.748934151231e-04
0.033               	1.127719057737e-05	2.063557413851e+00	-3.913727806426e-04	-1.844091997439e-04	-2.069635808987e-04
0.0352              	1.050832305778e-05	2.066139309179e+00	-2.835928290815e-04	-1.312880914830e-04	-1.523047375986e-04
0.0374              	9.738132016985e-06	2.065480948416e+00	-2.530563582787e-04	-1.167900471223e-04	-1.362663111563e-04
0.0396              	8.981479954483e-06	2.065322889622e+00	-2.877921588838e-04	-1.349145994874e-04	-1.528775593964e-04
0.0418              	8.234876338678e-06	2.063306004025e+00	-2.178758360251e-04	-1.007030416739e-04	-1.171727943512e-04
0.044               	7.514855620986e-06	2.061277863196e+00	-2.986349811862e-04	-1.418026349721e-04	-1.568323462141e-04
0.0462              	6.794322918011e-06	2.058127466048e+00	-1.909996055797e-04	-8.870547987183e-05	-1.022941257079e-04
0.0484              	6.098148737256e-06	2.055090668519e+00	-3.231147912153e-04	-1.554592468704e-04	-1.676555443449e-04
0.0506              	5.393061060904e-06	2.051354633726e+00	-2.199548679786e-04	-1.045843729284e-04	-1.153704950502e-04
0.0528              	4.705893215240e-06	2.047015148398e+00	-1.973192779720e-04	-9.395374577077e-05	-1.033655322012e-04
0.055               	4.027334569643e-06	2.042453286420e+00	-1.532363723051e-04	-7.259085158291e-05	-8.064552072220e-05
0.0572              	3.357983982072e-06	2.037445898776e+00	-1.546404314830e-04	-7.396223175945e-05	-8.067819972360e-05
0.0594              	2.697035507123e-06	2.032099814476e+00	-1.304999483083e-04	-6.255293864701e-05	-6.794700966126e-05
0.0616              	2.046474578972e-06	2.026564825777e+00	-1.746057150723e-04	-8.525638295715e-05	-8.934933211510e-05
0.0638              	1.399084419396e-06	2.021036326812e+00	-1.032106659374e-04	-5.020624854931e-05	-5.300441738810e-05
0.066               	7.607162311740e-07	2.015359118957e+00	-1.390654765508e-04	-6.877202204424e-05	-7.029345450659e-05
0.0682              	1.258458084981e-07	2.009444028056e+00	-6.185413019683e-05	-3.080121928992e-05	-3.105291090691e-05
0.0704              	-5.004507707835e-07	2.003155712493e+00	-7.020889594271e-05	-3.560489874214e-05	-3.460399720057e-05
0.0726              	-1.111443384486e-06	1.997369569959e+00	-1.194780441251e-04	-6.085046544703e-05	-5.862757867805e-05
0.0748              	-1.729076382968e-06	1.990997855669e+00	2.219031679428e-05	9.366082014172e-06	1.282423478011e-05
0.077               	-2.320229048196e-06	1.984876039827e+00	-1.562238925564e-04	-8.043217532638e-05	-7.579171722998e-05
0.0792              	-2.932365646323e-06	1.977921845889e+00	-1.060180751276e-05	-8.233269402703e-06	-2.368538110057e-06
0.0814              	-3.506444818571e-06	1.971901283570e+00	-1.755848274430e-04	-9.129885854007e-05	-8.428596890293e-05
0.0836              	-4.099042997952e-06	1.965511982871e+00	-4.620482584222e-05	-2.720145591906e-05	-1.900336992316e-05
0.0858              	-4.653174707951e-06	1.959230202280e+00	-1.141581031118e-04	-6.173222626386e-05	-5.242587684796e-05
0.088               	-5.230478659831e-06	1.952918272946e+00	-7.671088373576e-05	-4.358592052771e-05	-3.312496320805e-05
0.0902              	-5.772713719502e-06	1.946657785162e+00	-6.516994674403e-05	-3.835768709152e-05	-2.681225965251e-05
0.0924              	-6.333448816844e-06	1.940180662632e+00	-1.139367627931e-04	-6.330183021338e-05	-5.063493257969e-05
0.0946              	-6.856282011024e-06	1.934239212890e+00	-6.132341146403e-05	-3.751798774304e-05	-2.380542372099e-05
0.0968              	-7.402902149634e-06	1.927915282882e+00	-1.266976857226e-04	-7.075174501092e-05	-5.594594071165e-05
0.099               	-7.918415424816e-06	1.921746493542e+00	-5.031115196939e-05	-3.307399140951e-05	-1.723716055988e-05
0.1012              	-8.448590605484e-06	1.915210021224e+00	-7.912970588985e-05	-4.801344355041e-05	-3.111626233944e-05
0.1034              	-8.950993226239e-06	1.909079724840e+00	-5.093645484015e-05	-3.441922064631e-05	-1.651723419383e-05
0.1056              	-9.462374273774e-06	1.902645632384e+00	-7.242944528386e-05	-4.567709691570e-05	-2.675234836816e-05
0.1078              	-9.955103721325e-06	1.896523427980e+00	-4.617506373588e-05	-3.304263558926e-05	-1.313242814661e-05
0.11                	-1.044258313570e-05	1.889885089165e+00	-8.703848845743e-07	-1.087777557799e-05	1.000739069342e-05
0.1122              	-1.092761510182e-05	1.883785093351e+00	-2.519716803905e-05	-2.352619912135e-05	-1.670968917702e-06
0.1144              	-1.140606487734e-05	1.877545336637e+00	-6.996485675647e-05	-4.638849325558e-05	-2.357636350089e-05
0.1166              	-1.187593606586e-05	1.871612581996e+00	-2.849062989812e-05	-2.612125101492e-05	-2.369378883206e-06
0.1188              	-1.233819449232e-05	1.865413797404e+00	-6.168481311575e-05	-4.318060105020e-05	-1.850421206556e-05
0.121               	-1.279370776353e-05	1.859491562094e+00	-3.790304530594e-05	-3.174523041650e-05	-6.157814889440e-06
0.1232              	-1.324382205434e-05	1.853265694062e+00	-6.386987060594e-06	-1.643731558464e-05	1.005032852405e-05
